contest_year,current (3-10y),fresh (<3y),nostalgic (10-20y),retro (>20y),unknown,fresh_minus_retro,fresh_minus_nostalgic
2016,-0.009760621083792035,-0.019651197019776613,-0.06270802534954541,-0.009747300624936861,-0.0021605859490836433,-0.009903896394839752,0.043056828329768794
2017,-0.0027552798147088987,-0.020581037794580828,7.804867996266167e-05,-0.024023577086909175,-0.006659013002426878,0.003442539292328347,-0.02065908647454349
2018,-0.0010157277840292715,0.011597532786719737,-0.007849326122001532,-0.019017655197312407,0.014583930339428815,0.030615187984032143,0.01944685890872127
2019,-0.0069511004241460846,-0.025880541434748255,-0.010966975249904917,-0.005443531506817042,0.03833684514774226,-0.020437009927931214,-0.014913566184843338
2020,0.0005327443043062442,-0.008782172069728797,-0.003847242886424976,-0.0047012017898916,0.0153911279492276,-0.0040809702798371966,-0.004934929183303821
2021,-0.0017470017123777926,-0.027657463485740833,0.0011643824521263234,-0.012453702944030939,-0.007310363466200991,-0.015203760541709894,-0.028821845937867158
2022,-0.009835470928610724,-0.002294919619930301,-0.010010010369598178,-0.01502102383796969,-0.0013035982730824694,0.012726104218039389,0.007715090749667877
2023,-0.0031593939058503218,-0.02082397906964738,-0.002297147221339313,-0.01907547985347205,,-0.0017484992161753317,-0.018526831848308067
2024,-0.013428222936738274,-0.020850942096567338,-0.014652521582414613,-0.018614027302465613,,-0.002236914794101725,-0.006198420514152725
